"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"0088ba73";57.0;3.0;"2022-06-27";57.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"0129f188";45.0;2.0;"2022-06-27";45.0;"DA";"2022-07-07";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"016aa19b";50.0;2.0;"2022-06-27";50.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"016fe26b";78.0;4.0;"2022-06-27";78.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"018b2c2d";52.0;2.0;"2022-06-27";52.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"01b29f7c";"";"";"";2.0;"";"2022-05-06";0.0;"";"2022-04-05";20.0;"";"2022-09-09";0.0;"";"2022-09-05"
"01f469d3";"";"";"";8.0;"";"2022-05-06";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"0219bcaf";"";"";"";36.0;"";"2022-07-04";35.0;"";"2022-07-14";40.0;"";"2022-09-11";0.0;"";"2022-09-05"
"028c126b";78.33;4.0;"2022-07-11";33.0;"";"2022-05-06";78.33;"DA";"2022-07-14";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"02c8a6f8";"";"";"";0.0;"";"2022-05-06";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"031d3388";63.0;3.0;"2022-06-27";63.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
"033a4f0c";53.0;2.0;"2022-06-27";53.0;"DA";"2022-07-04";0.0;"";"2022-04-05";0.0;"";"2022-04-05";0.0;"";"2022-09-05"
