"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"0088ba73";62.0;3.0;"2022-01-24";62;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0129f188";64.0;3.0;"2022-07-04";23;"";"2022-02-02";0;"";"2021-11-15";64;"DA ";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"016aa19b";65.0;3.0;"2022-01-24";65;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"016fe26b";88.0;5.0;"2022-01-24";88;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"018b2c2d";70.0;4.0;"2022-01-24";70;"DA ";"2022-02-04";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"01b29f7c";48.0;2.0;"2022-09-13";41;"";"2022-02-02";0;"";"2021-11-15";36;"";"2022-07-07";36;"";"2022-09-01";48;"DA ";"2022-09-14"
"01f469d3";47.0;2.0;"2022-01-24";47;"DA ";"2022-02-04";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0219bcaf";55.0;3.0;"2022-01-24";55;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"028c126b";82.0;4.0;"2022-01-24";82;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"031d3388";74.0;4.0;"2022-01-24";74;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"033a4f0c";65.0;3.0;"2022-01-24";65;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"03b372b8";45.0;2.0;"2022-02-07";11;"";"2022-02-02";45;"DA ";"2022-02-14";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0403729e";70.0;4.0;"2022-01-24";70;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0503dc1b";72.0;4.0;"2022-01-24";72;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"05446144";53.0;2.0;"2022-07-04";41;"";"2022-02-02";0;"";"2021-11-15";53;"DA ";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"056b9c33";"";"";"";0;"";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"05bb3ac4";"";"";"";16;"";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"06ab9abe";"";"";"";9;"";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"06e0a0af";69.0;3.0;"2022-02-07";42;"";"2022-02-02";69;"DA ";"2022-02-09";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"073fd3c7";47.0;2.0;"2022-01-24";47;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"07691dfe";"";"";"";31;"";"2022-02-02";0;"";"2021-11-15";41;"";"2022-07-14";33;"";"2022-09-01";0;"";"2022-09-05"
"088725df";"";"";"";8;"";"2022-02-02";17;"";"2022-02-09";0;"";"2022-07-07";13;"";"2022-09-01";0;"";"2022-09-05"
"0908fe0e";52.0;2.0;"2022-01-24";52;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"09f0c32a";73.0;4.0;"2022-01-24";73;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0a63bff5";70.0;4.0;"2022-01-24";70;"DA ";"2022-02-04";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0a8de95e";75.0;4.0;"2022-02-07";42;"";"2022-02-02";75;"DA ";"2022-02-09";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0ae4f035";72.0;4.0;"2022-01-24";72;"DA ";"2022-02-02";0;"";"2021-11-15";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
"0b2dd56e";59.0;3.0;"2022-02-07";29;"";"2022-02-02";59;"DA ";"2022-02-09";0;"";"2022-07-07";0;"";"2022-09-01";0;"";"2022-09-05"
