"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"67d9e181";53.0;2.0;"2024-02-05";53;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"695fb206";59.0;3.0;"2024-02-05";59;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"69903c9c";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"69b50ffc";76.0;4.0;"2024-02-05";76;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"69c4dd72";61.0;3.0;"2024-02-05";61;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"69ca332e";"";"";"";20;"";"2024-02-08";41.67;"";"2024-02-24";30.0;"";"2024-07-10";0.0;"";"2023-11-10";35.0;"";"2024-09-12"
"69f179de";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6a67c4be";"";"";"";0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6aeaafdc";"";"";"";21;"";"2024-02-13";36.67;"";"2024-02-24";0.0;"";"2023-11-10";13.33;"";"2024-09-05";16.7;"";"2024-09-12"
"6b11f460";50.0;2.0;"2024-02-19";38;"";"2024-02-13";50.0;"DA ";"2024-02-23";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6b24bc3b";64.0;3.0;"2024-02-05";64;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6bb552c4";"";"";"";14;"";"2024-02-08";0.0;"";"2023-11-10";40.0;"";"2024-07-10";0.0;"";"2023-11-10";18.3;"";"2024-09-12"
"6c034b42";57.0;2.0;"2024-02-05";57;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6c963e3d";"";"";"";40;"";"2024-02-13";0.0;"";"2023-11-10";35.0;"";"2024-07-10";20.0;"";"2024-09-05";35.0;"";"2024-09-12"
"6d826a14";55.0;2.0;"2024-02-05";55;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6ddd5bde";50.0;2.0;"2024-02-19";41;"";"2024-02-13";50.0;"DA ";"2024-02-23";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6dea999f";59.0;3.0;"2024-02-05";59;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6ea9dec4";90.0;5.0;"2024-02-05";90;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6f6b2c2a";58.33;3.0;"2024-02-19";42;"";"2024-02-13";58.33;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6fd38a3e";"";"";"";0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"6fe70c96";65.0;3.0;"2024-02-19";48;"";"2024-02-13";65.0;"DA ";"2024-02-22";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7015814b";50.0;2.0;"2024-09-09";45;"";"2024-02-13";38.33;"";"2024-02-24";25.0;"";"2024-07-10";33.33;"";"2024-09-05";50.0;"DA ";"2024-09-15"
"70927dbf";50.0;2.0;"2024-02-19";42;"";"2024-02-13";50.0;"DA ";"2024-02-23";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"70ef8645";97.0;5.0;"2024-02-05";97;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7111c8ea";53.0;2.0;"2024-02-05";53;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"719ce440";"";"";"";8;"";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
