"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"012a5ebf";57.0;3.0;"2023-09-12";14;"";"2022-12-08";17;"";"2023-02-16";35;"";"2023-07-14";0;"";"2022-10-21";57;"DA ";"2023-09-15"
"01345c96";92.0;5.0;"2023-02-13";72;"DA ";"2023-02-06";92;"DA ";"2023-02-16";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"0187744f";54.0;2.0;"2023-01-30";54;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"033aba28";49.0;2.0;"2023-01-30";49;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"03860db1";64.0;3.0;"2023-01-30";64;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"0422a47a";"";"";"";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"0556a180";93.0;5.0;"2023-01-30";93;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"056b9c33";"";"";"";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"05bb3ac4";"";"";"";40;"";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"05d19272";59.0;3.0;"2023-01-30";59;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"05e17acc";48.0;2.0;"2023-01-30";48;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"06ab9abe";50.0;2.0;"2023-01-30";50;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"06b1a228";77.0;4.0;"2023-01-30";77;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"06cc589e";56.0;3.0;"2023-01-30";56;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"07691dfe";45.0;2.0;"2023-01-30";45;"DA ";"2023-02-07";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"0799bb29";82.0;4.0;"2023-01-30";82;"DA ";"2023-02-06";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
"081176f1";85.0;5.0;"2023-01-30";85;"DA ";"2023-02-07";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21";0;"";"2022-10-21"
