"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"1ba2fa17";45.31;2.0;"2020-08-24";9;"";"2019-12-16";12.5;"";"2020-02-19";0.0;"";"2020-06-02";45.31;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1c375aac";96.0;5.0;"2020-02-03";96;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1ca24115";61.0;3.0;"2020-02-03";61;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1caf2c37";47.0;2.0;"2020-02-03";47;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1d012392";46.0;2.0;"2020-02-03";46;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1d494316";"";"";"";23;"";"2019-12-11";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1d5e964c";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1d90d7c5";63.0;3.0;"2020-02-03";63;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1e3b3a49";57.81;3.0;"2020-02-17";34;"";"2020-02-10";57.81;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1e4ceec5";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1e6a08f9";45.0;2.0;"2020-09-03";36;"";"2020-02-10";31.25;"";"2020-02-19";0.0;"";"2020-06-02";28.13;"";"2020-08-27";45;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"1ebb0297";55.0;3.0;"2020-02-03";55;"DA ";"2020-02-11";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1ec08cc6";61.0;3.0;"2020-09-03";5;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";32.81;"";"2020-08-27";61;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"1f22d58d";45.31;2.0;"2020-02-17";13;"";"2020-02-10";45.31;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1f89a1cc";46.0;2.0;"2020-02-03";46;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"1f95c8fe";"";"";"";3;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"201ddb13";54.69;2.0;"2020-08-24";7;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";54.69;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"203029a1";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"206aee14";76.0;4.0;"2020-02-03";76;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"20a6653e";"";"";"";1;"";"2019-12-04";1.56;"";"2020-02-19";12.5;"";"2020-07-06";0.0;"";"2020-06-02";17;"";"2020-09-08";0.0;"";"2020-09-09"
"20bd2357";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"20bfff02";74.0;4.0;"2020-02-03";74;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"20fd2bb0";53.13;2.0;"2020-08-24";36;"";"2020-02-10";35.94;"";"2020-02-19";0.0;"";"2020-06-02";53.13;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2159062b";"";"";"";16;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
