"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"2b6ab516";49.0;2.0;"2021-06-28";49.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2bb28572";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2bede720";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2c374c6e";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-08";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2c52f3fc";45.0;2.0;"2021-07-12";24.0;"";"2021-07-06";45.0;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2c71c3fa";45.0;2.0;"2021-09-06";36.0;"";"2021-07-06";41.7;"";"2021-07-15";45.0;"DA";"2021-09-12";0.0;"";"2021-09-10"
"2cc7ad40";53.3;2.0;"2021-07-12";43.0;"";"2021-07-06";53.3;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2cd8d361";"";"";"";2.0;"";"2021-05-11";1.7;"";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2d15544f";"";"";"";19.0;"";"2021-07-06";20.0;"";"2021-07-15";21.7;"";"2021-09-10";0.0;"";"2021-09-10"
"2db98583";45.0;2.0;"2021-07-12";8.0;"";"2021-05-11";45.0;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2dbd8cb5";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";5.0;"";"2021-09-10";6.7;"";"2021-09-15"
"2e35e7be";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2eb6337c";50.0;2.0;"2021-09-06";20.0;"";"2021-07-06";0.0;"";"2021-04-13";50.0;"DA";"2021-09-10";0.0;"";"2021-09-10"
"2eee001a";62.0;3.0;"2021-06-28";62.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2f33cc5c";50.0;2.0;"2021-09-06";40.0;"";"2021-07-06";31.7;"";"2021-07-15";50.0;"DA";"2021-09-10";0.0;"";"2021-09-10"
"2f52e74a";55.0;3.0;"2021-07-12";30.0;"";"2021-07-06";55.0;"DA";"2021-07-18";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2f64e6fa";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-08";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"2fe212b8";"";"";"";42.0;"";"2021-07-06";16.7;"";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3030215f";"";"";"";21.0;"";"2021-07-06";0.0;"";"2021-04-13";8.3;"";"2021-09-10";0.0;"";"2021-09-10"
"309a636d";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"30a7c5ff";79.0;4.0;"2021-06-28";79.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"313a6eb6";"";"";"";7.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3217ddcc";"";"";"";6.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"326ea9d9";45.0;2.0;"2021-07-12";40.0;"";"2021-07-06";45.0;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3277ed7b";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"32f4b1ba";"";"";"";28.0;"";"2021-07-06";15.0;"";"2021-07-15";26.7;"";"2021-09-10";0.0;"";"2021-09-10"
"333260e2";60.0;3.0;"2021-06-28";60.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3458bef9";53.0;2.0;"2021-06-28";53.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"355b7152";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"35808cbc";"";"";"";4.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"35d505fe";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"36338ba3";"";"";"";1.0;"";"2021-07-06";1.7;"";"2021-07-15";5.0;"";"2021-09-10";0.0;"";"2021-09-10"
"36b66e6e";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"38026a20";"";"";"";29.0;"";"2021-07-06";18.3;"";"2021-07-15";18.3;"";"2021-09-10";26.7;"";"2021-09-15"
"38494fec";88.0;5.0;"2021-06-28";88.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"38d8e496";70.0;4.0;"2021-06-28";70.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"38fe13cf";55.0;3.0;"2021-07-12";42.0;"";"2021-07-06";55.0;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"393a7097";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"399af182";89.0;5.0;"2021-06-28";89.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"39dd9137";55.0;3.0;"2021-06-28";55.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3a5bc48e";50.0;2.0;"2021-09-06";13.0;"";"2021-07-06";33.3;"";"2021-07-15";50.0;"DA";"2021-09-10";0.0;"";"2021-09-10"
"3b323b93";61.0;3.0;"2021-06-28";61.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3b405615";51.0;2.0;"2021-06-28";51.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3b7d5043";45.0;2.0;"2021-09-14";40.0;"";"2021-07-06";36.7;"";"2021-07-15";33.3;"";"2021-09-10";45.0;"DA";"2021-09-15"
"3bb5108a";57.0;3.0;"2021-06-28";57.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3bbc5de3";49.0;2.0;"2021-06-28";49.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3c14c102";45.0;2.0;"2021-09-14";9.0;"";"2021-05-11";18.3;"";"2021-07-15";28.3;"";"2021-09-10";45.0;"DA";"2021-09-15"
"3c1a9906";70.0;4.0;"2021-06-28";70.0;"DA";"2021-07-08";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3cbd5e8b";45.0;2.0;"2021-07-12";41.0;"";"2021-07-06";45.0;"DA";"2021-07-15";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3ccca2bb";56.0;3.0;"2021-06-28";56.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
