"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"00ce3c17";"";"";"";0.0;"";"2019-04-17";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"012f7119";60.0;3.0;"2019-07-01";60.0;"DA";"2019-07-08";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"01352d5b";45.0;2.0;"2019-07-15";19.0;"";"2019-07-08";45.0;"DA";"2019-07-17";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"0238364a";"";"";"";0.0;"";"2019-04-17";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"02aefc71";"";"";"";0.0;"";"2019-04-17";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"02c3547a";"";"";"";0.0;"";"2019-04-17";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"02c3b7d0";85.0;5.0;"2019-07-01";85.0;"DA";"2019-07-08";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"02feca66";"";"";"";0.0;"";"2019-04-17";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"03a13da3";"";"";"";28.0;"";"2019-07-08";0.0;"";"2019-07-15";33.0;"";"2019-09-12";0.0;"";"2019-09-16"
"0443cab1";61.0;3.0;"2019-07-01";61.0;"DA";"2019-07-08";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"04d9d508";57.0;3.0;"2019-09-09";37.0;"";"2019-07-08";40.0;"";"2019-07-17";57.0;"DA";"2019-09-12";0.0;"";"2019-09-16"
"0537830e";66.0;3.0;"2019-07-01";66.0;"DA";"2019-07-08";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
"05acba04";47.0;2.0;"2019-07-01";47.0;"DA";"2019-07-08";0.0;"";"2019-07-15";0.0;"";"2019-07-15";0.0;"";"2019-09-16"
