"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"00ce3c17";"";"";"";16;"";"2018-12-05";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"01352d5b";73.44;4.0;"2019-09-04";42;"";"2019-02-08";18.75;"";"2019-02-21";0.0;"";"2019-07-09";73.44;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"0238364a";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"02aefc71";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"02c3547a";"";"";"";14;"";"2018-12-05";7.81;"";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"02c3b7d0";91.0;5.0;"2019-02-04";91;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"02feca66";73.44;4.0;"2019-09-04";8;"";"2018-12-05";1.56;"";"2019-02-21";0.0;"";"2019-07-09";73.44;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"03a13da3";"";"";"";28;"";"2019-02-08";37.5;"";"2019-02-21";0.0;"";"2019-07-09";40.63;"";"2019-09-06";42.19;"";"2019-09-18"
"0443cab1";81.0;4.0;"2019-02-04";81;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"04d9d508";62.5;3.0;"2019-09-04";40;"";"2019-02-08";37.5;"";"2019-02-21";0.0;"";"2019-07-09";62.5;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"0537830e";65.0;3.0;"2019-02-04";65;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"05acba04";53.13;2.0;"2019-09-04";27;"";"2019-02-08";29.69;"";"2019-02-21";0.0;"";"2019-07-09";53.13;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"05ea4c2f";45.31;2.0;"2019-02-18";27;"";"2019-02-08";45.31;"DA ";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"063874e4";45.0;2.0;"2019-02-04";45;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"06ad8da2";48.0;2.0;"2019-02-04";48;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"06cf993e";55.0;3.0;"2019-02-04";55;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0799c91b";49.0;2.0;"2019-02-04";49;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"07b8ef44";"";"";"";35;"";"2019-02-08";32.81;"";"2019-02-21";3.13;"";"2019-07-16";0.0;"";"2019-07-09";23.44;"";"2019-09-18"
"087fcd8f";51.56;2.0;"2019-09-17";33;"";"2019-02-08";31.25;"";"2019-02-21";34.38;"";"2019-07-16";0.0;"";"2019-07-09";51.56;"DA ";"2019-09-18"
"098a3177";"";"";"";16;"";"2019-02-08";32.81;"";"2019-02-21";26.56;"";"2019-07-16";0.0;"";"2019-07-09";40.63;"";"2019-09-18"
"0a20381a";52.0;2.0;"2019-02-04";52;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0a7c69d6";51.0;2.0;"2019-02-04";51;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0a8e0a7a";53.0;2.0;"2019-02-04";53;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0ac51ade";61.0;3.0;"2019-02-04";61;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0af44e9d";"";"";"";32;"";"2019-02-08";29.69;"";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0b55a571";70.31;4.0;"2019-09-04";32;"";"2019-02-08";39.06;"";"2019-02-22";0.0;"";"2019-07-09";70.31;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"0bbd34d2";57.0;3.0;"2019-02-04";57;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0be48f8e";50.0;2.0;"2019-02-04";50;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0c47fc77";48.0;2.0;"2019-02-04";48;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0d269ef9";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0e067121";45.0;2.0;"2019-02-04";45;"DA ";"2019-02-11";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0e19156e";57.0;3.0;"2019-02-04";57;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0e3b1b0d";49.0;2.0;"2019-02-04";49;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0e657a2c";"";"";"";27;"";"2019-02-08";9.38;"";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0e865868";60.94;3.0;"2019-09-04";38;"";"2019-02-08";35.94;"";"2019-02-21";0.0;"";"2019-07-09";60.94;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"0f86791a";46.0;2.0;"2019-02-04";46;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"0ff22be4";70.0;4.0;"2019-02-04";70;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"106d3230";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"10aa50ce";62.0;3.0;"2019-02-04";62;"DA ";"2019-02-11";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"11092889";55.0;3.0;"2019-02-04";55;"DA ";"2019-02-11";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"11c3898a";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";14.06;"";"2019-09-06";0.0;"";"2019-09-16"
"120129c5";60.94;3.0;"2019-09-04";6;"";"2018-12-05";34.38;"";"2019-02-21";0.0;"";"2019-07-09";60.94;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"1287ecf4";"";"";"";15;"";"2018-12-05";6.25;"";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"133cd360";46.88;2.0;"2019-02-18";38;"";"2019-02-08";46.88;"DA ";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"134be10e";45.0;2.0;"2019-02-04";45;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"136397ca";45.31;2.0;"2019-02-18";40;"";"2019-02-08";45.31;"DA ";"2019-02-21";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"13779949";74.0;4.0;"2019-02-04";74;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"13e30b89";46.0;2.0;"2019-02-04";46;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"143ea41e";71.0;4.0;"2019-02-04";71;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"1480affa";51.0;2.0;"2019-02-04";51;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"1610287d";52.0;2.0;"2019-02-04";52;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"165af106";51.0;2.0;"2019-02-04";51;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"167ed544";59.0;3.0;"2019-02-04";59;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"177653ed";54.69;2.0;"2019-09-04";4;"";"2018-12-05";29.69;"";"2019-02-21";0.0;"";"2019-07-09";54.69;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"178aa870";45.31;2.0;"2019-09-04";20;"";"2018-12-06";0.0;"";"2019-02-14";0.0;"";"2019-07-09";45.31;"DA ";"2019-09-06";0.0;"";"2019-09-16"
"17c5d300";45.0;2.0;"2019-02-04";45;"DA ";"2019-02-11";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"17c99425";63.0;3.0;"2019-02-04";63;"DA ";"2019-02-08";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
"17f0d31c";"";"";"";0;"";"2018-11-21";0.0;"";"2019-02-14";0.0;"";"2019-07-09";0.0;"";"2019-07-09";0.0;"";"2019-09-16"
