"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"00be2dd6";"";"";"";12.0;"";"2024-06-26";33.3;"";"2024-07-10";40.0;"";"2024-09-05";0.0;"";"2024-04-10"
"01b29f7c";63.0;3.0;"2024-06-18";63.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"02c8a6f8";"";"";"";0.0;"";"2024-04-05";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"03063861";72.0;4.0;"2024-06-18";72.0;"DA";"2024-06-28";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"0340272f";"";"";"";3.0;"";"2024-06-24";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"0380df49";78.0;4.0;"2024-06-18";78.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"03b372b8";"";"";"";0.0;"";"2024-04-05";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"03d9bedf";64.0;3.0;"2024-06-18";64.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"0403729e";"";"";"";28.0;"";"2024-06-25";0.0;"";"2024-04-10";26.7;"";"2024-09-03";16.7;"";"2024-09-13"
"046b8ef1";"";"";"";0.0;"";"2024-04-05";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"046f202c";59.0;3.0;"2024-06-18";59.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"0566e8da";"";"";"";57.0;"DA";"2024-06-26";15.0;"";"2024-07-10";33.3;"";"2024-09-03";0.0;"";"2024-04-10"
"05768b0c";56.0;2.0;"2024-06-18";56.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"05ab53b5";88.0;5.0;"2024-06-18";88.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"05bb3ac4";"";"";"";19.0;"";"2024-06-25";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"068f32a2";64.0;3.0;"2024-06-18";64.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"06ab9abe";"";"";"";1.0;"";"2024-06-24";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"070ba2b9";54.0;2.0;"2024-06-18";54.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
"07358f37";64.0;3.0;"2024-06-18";64.0;"DA";"2024-06-26";0.0;"";"2024-04-10";0.0;"";"2024-04-10";0.0;"";"2024-04-10"
