"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"004091a8";"";"";"";0.0;"";"2020-02-25";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"00ce3c17";62.0;3.0;"2020-06-23";62.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"00fd3e2d";62.0;3.0;"2020-06-23";62.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"0100ce9e";"";"";"";0.0;"";"2020-02-25";3.3;"";"2020-07-14";1.7;"";"2020-09-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"019ca9d8";72.0;4.0;"2020-06-23";72.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"01b34055";93.0;5.0;"2020-06-23";93.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"022f4355";52.0;2.0;"2020-06-23";52.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"0249cd36";48.0;2.0;"2020-06-23";48.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"02aefc71";"";"";"";0.0;"";"2020-02-25";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"02bfdb38";45.0;2.0;"2020-06-23";45.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"02c8a6f8";"";"";"";0.0;"";"2020-02-25";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"02c8e9a6";95.0;5.0;"2020-06-23";95.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"02feca66";50.0;2.0;"2020-08-27";0.0;"";"2020-02-25";0.0;"";"2020-06-02";50.0;"DA";"2020-09-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"031ce75e";85.0;5.0;"2020-06-23";85.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"036b6d9d";60.0;3.0;"2020-06-23";60.0;"DA";"2020-07-02";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"03a13da3";55.0;3.0;"2020-07-09";0.0;"";"2020-02-25";55.0;"DA";"2020-07-14";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"04583c1e";48.3;2.0;"2020-07-09";42.0;"";"2020-07-01";48.3;"DA";"2020-07-14";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"047dd520";73.3;4.0;"2020-08-27";52.0;"DA";"2020-07-01";0.0;"";"2020-06-02";73.3;"DA";"2020-09-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"047f345c";83.0;4.0;"2020-06-23";83.0;"DA";"2020-07-02";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"055d963b";58.3;3.0;"2020-07-09";40.0;"";"2020-07-01";58.3;"DA";"2020-07-14";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"0576ce1e";45.0;2.0;"2020-09-15";28.0;"";"2020-07-01";15.0;"";"2020-07-14";16.7;"";"2020-09-02";30.0;"";"2020-09-10";45.0;"DA";"2020-09-16"
"05e00d39";87.0;5.0;"2020-06-23";87.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"0602b5a7";73.0;4.0;"2020-06-23";73.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"063874e4";45.0;2.0;"2020-06-23";45.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
"0639cf90";50.0;2.0;"2020-06-23";50.0;"DA";"2020-07-01";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0.0;"";"2020-09-04";0.0;"";"2020-09-09"
