"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"012a5ebf";52.0;2.0;"2023-06-13";52.0;"DA";"2023-06-21";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"01345c96";65.0;3.0;"2023-07-04";49.0;"DA";"2023-06-21";65.0;"DA";"2023-07-12";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"0187744f";61.0;3.0;"2023-06-13";61.0;"DA";"2023-06-21";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"01b29f7c";"";"";"";26.0;"";"2023-06-21";36.7;"";"2023-07-12";35.0;"";"2023-09-04";15.0;"";"2023-09-15"
"01f469d3";45.0;2.0;"2023-06-13";45.0;"DA";"2023-06-27";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"0219bcaf";67.0;3.0;"2023-06-13";67.0;"DA";"2023-06-21";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"02c8a6f8";"";"";"";0.0;"";"2023-04-28";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"033aba28";49.0;2.0;"2023-06-13";49.0;"DA";"2023-06-21";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"03860db1";50.0;2.0;"2023-06-13";50.0;"DA";"2023-06-21";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"03b372b8";"";"";"";0.0;"";"2023-04-28";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
"0403729e";"";"";"";0.0;"";"2023-04-28";21.7;"";"2023-07-12";27.0;"";"2023-09-04";28.0;"";"2023-09-15"
"0422a47a";"";"";"";0.0;"";"2023-04-28";0.0;"";"2023-05-29";0.0;"";"2023-05-29";0.0;"";"2023-05-29"
